Disciplina
Estágio Curricular Supervisionado III
Estágio Curricular Supervisionado I
Estágio Curricular Supervisionado II
Métodos Ágeis
"Apresentações, Documentos e Planilhas Básico"
Raciocínio Lógico Matemático
DIY! Primeiros Passos para Empreender
Linguagens e Comunicação
Liderança Exponencial
Liderança Exponencial
Linguagens e Comunicação
DIY! Primeiros Passos para Empreender
"Apresentações, Documentos e Planilhas Básico"
Métodos Ágeis
Raciocínio Lógico Matemático
Métodos Ágeis
"Apresentações, Documentos e Planilhas Básico"
Liderança Exponencial
Linguagens e Comunicação
Raciocínio Lógico Matemático
DIY! Primeiros Passos para Empreender
Métodos Ágeis
"Apresentações, Documentos e Planilhas Básico"
DIY! Primeiros Passos para Empreender
Linguagens e Comunicação
Raciocínio Lógico Matemático
Liderança Exponencial
Liderança Exponencial
DIY! Primeiros Passos para Empreender
Linguagens e Comunicação
Métodos Ágeis
Raciocínio Lógico Matemático
"Apresentações, Documentos e Planilhas Básico"
Gestão de Custos para Tomada de Decisão
Tecnologias Empresariais
Sales and Operational Planning (S&OP): Modelagem de Previsibilidade de Vendas
Análise de Dados para Impacto Social
Orçamento Empresarial
Comunicação Assertiva e Negociação
Neurociência Aplicada ao Consumo
Sales and Operational Planning (S&OP): Modelagem de Previsibilidade de Vendas
Orçamento Empresarial
Tecnologias Empresariais
Neurociência Aplicada ao Consumo
Análise de Dados para Impacto Social
Comunicação Assertiva e Negociação
Gestão de Custos para Tomada de Decisão
Neurociência Aplicada ao Consumo
Comunicação Assertiva e Negociação
Orçamento Empresarial
Tecnologias Empresariais
Análise de Dados para Impacto Social
Sales and Operational Planning (S&OP): Modelagem de Previsibilidade de Vendas
Gestão de Custos para Tomada de Decisão
Comunicação Assertiva e Negociação
Orçamento Empresarial
Tecnologias Empresariais
Sales and Operational Planning (S&OP): Modelagem de Previsibilidade de Vendas
Análise de Dados para Impacto Social
Gestão de Custos para Tomada de Decisão
Neurociência Aplicada ao Consumo
Comunicação Assertiva e Negociação
Tecnologias Empresariais
Gestão de Custos para Tomada de Decisão
Análise de Dados para Impacto Social
Neurociência Aplicada ao Consumo
Orçamento Empresarial
Sales and Operational Planning (S&OP): Modelagem de Previsibilidade de Vendas
Tecnologias Empresariais
"Google Ads, Analytics e SEO"
Logística: E-commerce e Omnichannel
Gestão de Estoque e Cadeia de Suprimentos
Campanhas no Facebook e Instagram
Gestão de Frotas
Gestão de Estoque e Cadeia de Suprimentos
Gestão de Frotas
Tecnologias Empresariais
Campanhas no Facebook e Instagram
Logística: E-commerce e Omnichannel
"Google Ads, Analytics e SEO"
Tecnologias Empresariais
Campanhas no Facebook e Instagram
Gestão de Frotas
"Google Ads, Analytics e SEO"
Gestão de Estoque e Cadeia de Suprimentos
Logística: E-commerce e Omnichannel
Logística: E-commerce e Omnichannel
Gestão de Estoque e Cadeia de Suprimentos
Tecnologias Empresariais
"Google Ads, Analytics e SEO"
Gestão de Frotas
Campanhas no Facebook e Instagram
Gestão de Projetos
Planilhas Avançado
Orçamento Empresarial
Inteligência de Dados e Pesquisa de Mercado
Gestão de Custos para Tomada de Decisão
KPI's e Tomada de Decisão
Administração:Tópicos Especiais
Planejamento Estratégico e Empresarial
Jogos de Empresas
Portfólio Final - Administração
Orçamento Empresarial
Cenário Mundial e Globalização
KPI's e Tomada de Decisão
Inteligência de Dados e Pesquisa de Mercado
Gestão de Projetos
Planilhas Avançado
Gestão de Custos para Tomada de Decisão
Orçamento Empresarial
Administração:Tópicos Especiais
Jogos de Empresas
Cenário Mundial e Globalização
Orçamento Empresarial
Portfólio Final - Administração
Planejamento Estratégico e Empresarial
Mathematical Logic
ESG: Sustentabilidade das Organizações
Gestão da Diversidade e Políticas de Inclusão
Agile Methods
Database Modeling & SQL
Computational Logic Using Python
Mathematical Logic
Gestão da Diversidade e Políticas de Inclusão
ESG: Sustentabilidade das Organizações
Database Modeling & SQL
Agile Methods
Computational Logic Using Python
Computer Architecture and Organization
Algorithmic Thinking & Introduction to Object-Oriented Programming
Server and Data Center Administration
Cyber Security
Development Tools & Cloud Computing
Computer Network
Computer Architecture and Organization
Development Tools & Cloud Computing
Computer Network
Algorithmic Thinking & Introduction to Object-Oriented Programming
Cyber Security
Server and Data Center Administration
Linguagens e Comunicação
Cyber Security
Computer Architecture and Organization
Computer Network
Server and Data Center Administration
Development Tools & Cloud Computing
Development Tools & Cloud Computing
Cyber Security
Computer Network
Computer Architecture and Organization
Server and Data Center Administration
Algorithmic Thinking & Introduction to Object-Oriented Programming
Computer Network
Development Tools & Cloud Computing
Cyber Security
Server and Data Center Administration
Computer Architecture and Organization
Algorithmic Thinking & Introduction to Object-Oriented Programming
Object Oriented Programming
UX/UI Design & Design Thinking
Software Engineering
Development with Python
A Extensão Curricularizada e os ODS
Data Structure Strategy and Implementation
Liderança Exponencial
Object Oriented Programming
A Extensão Curricularizada e os ODS
Data Structure Strategy and Implementation
Development with Python
UX/UI Design & Design Thinking
Software Engineering
Liderança Exponencial
Web Programming for Back End
Eletiva: Containers & Kubernetes
Design Web
Web Programming for Front End
Machine Learning & CHATBOT
Análise de Dados para Impacto Social
Resolução Eficaz de Problemas
Análise de Dados para Impacto Social
Web Programming for Back End
Web Programming for Front End
Resolução Eficaz de Problemas
Machine Learning & CHATBOT
Eletiva: Containers & Kubernetes
Design Web
Design Web
Machine Learning & CHATBOT
Resolução Eficaz de Problemas
Análise de Dados para Impacto Social
Eletiva: Containers & Kubernetes
Web Programming for Front End
Web Programming for Back End
Análise de Dados para Impacto Social
